Date,ret,RM-Rf,SMB,HML,RMW,CMA,Lag1,Lag2,Lag3,Lag4,Lag5
8/17/2015,0.635917976,0.6,0.36,-0.85,-0.22,-0.37,0.379801789,-0.139131023,0.102001193,-0.905078177,1.239611452
8/18/2015,-0.257553225,-0.35,-0.61,0.37,0.37,0.03,0.635917976,0.379801789,-0.139131023,0.102001193,-0.905078177
8/19/2015,-0.897451811,-0.85,-0.2,-0.21,-0.1,-0.03,-0.257553225,0.635917976,0.379801789,-0.139131023,0.102001193
8/20/2015,-2.198697358,-2.24,-0.23,0.56,0.63,0.53,-0.897451811,-0.257553225,0.635917976,0.379801789,-0.139131023
8/21/2015,-2.920836465,-2.95,1.8,0.16,-0.73,0.74,-2.198697358,-0.897451811,-0.257553225,0.635917976,0.379801789
8/24/2015,-4.103391518,-3.9,0.29,-0.4,0.45,0.09,-2.920836465,-2.198697358,-0.897451811,-0.257553225,0.635917976
8/25/2015,-1.199612335,-1.17,0.58,-0.62,-0.28,-0.55,-4.103391518,-2.920836465,-2.198697358,-0.897451811,-0.257553225
8/26/2015,3.566395892,3.68,-1.41,-0.36,0.18,-0.59,-1.199612335,-4.103391518,-2.920836465,-2.198697358,-0.897451811
8/27/2015,2.389840057,2.4,-0.63,0.6,-0.31,-0.13,3.566395892,-1.199612335,-4.103391518,-2.920836465,-2.198697358
8/28/2015,0.077736321,0.23,0.99,0.07,-0.26,0.08,2.389840057,3.566395892,-1.199612335,-4.103391518,-2.920836465
8/31/2015,-0.750557757,-0.74,0.9,1.4,0.09,0.45,0.077736321,2.389840057,3.566395892,-1.199612335,-4.103391518
9/1/2015,-2.979052391,-2.91,0.24,-0.48,-0.01,0.06,-0.750557757,0.077736321,2.389840057,3.566395892,-1.199612335
9/2/2015,1.86734882,1.81,-0.28,-0.9,0.19,-0.61,-2.979052391,-0.750557757,0.077736321,2.389840057,3.566395892
9/3/2015,0.118633716,0.17,-0.2,0.74,0.34,0.66,1.86734882,-2.979052391,-0.750557757,0.077736321,2.389840057
9/4/2015,-1.433118124,-1.39,0.83,-0.57,-0.07,-0.4,0.118633716,1.86734882,-2.979052391,-0.750557757,0.077736321
9/8/2015,2.494663728,2.52,-0.39,-0.56,-0.1,-0.29,-1.433118124,0.118633716,1.86734882,-2.979052391,-0.750557757
9/9/2015,-1.378245109,-1.34,0.18,0.13,0.22,0.02,2.494663728,-1.433118124,0.118633716,1.86734882,-2.979052391
9/10/2015,0.514148476,0.49,-0.19,-0.34,-0.22,-0.62,-1.378245109,2.494663728,-1.433118124,0.118633716,1.86734882
9/11/2015,0.452584355,0.44,-0.28,-0.68,-0.09,-0.31,0.514148476,-1.378245109,2.494663728,-1.433118124,0.118633716
9/14/2015,-0.383594962,-0.41,0.02,0.03,-0.02,-0.05,0.452584355,0.514148476,-1.378245109,2.494663728,-1.433118124
9/15/2015,1.253564117,1.22,-0.16,0.28,0,0.11,-0.383594962,0.452584355,0.514148476,-1.378245109,2.494663728
9/16/2015,0.843159345,0.84,0.04,0.43,0.31,0.2,1.253564117,-0.383594962,0.452584355,0.514148476,-1.378245109
9/17/2015,-0.135210415,-0.17,0.78,-1.5,-0.26,-0.32,0.843159345,1.253564117,-0.383594962,0.452584355,0.514148476
9/18/2015,-1.597529056,-1.62,0.29,-0.94,-0.43,-0.45,-0.135210415,0.843159345,1.253564117,-0.383594962,0.452584355
9/21/2015,0.401789444,0.36,-0.85,1.24,0.48,0.12,-1.597529056,-0.135210415,0.843159345,1.253564117,-0.383594962
9/22/2015,-1.348911306,-1.29,-0.3,0.14,0.3,0.1,0.401789444,-1.597529056,-0.135210415,0.843159345,1.253564117
9/23/2015,-0.198451073,-0.27,-0.22,-0.16,-0.17,-0.27,-1.348911306,0.401789444,-1.597529056,-0.135210415,0.843159345
9/24/2015,-0.358225961,-0.36,0.27,0.52,-0.08,0.04,-0.198451073,-1.348911306,0.401789444,-1.597529056,-0.135210415
9/25/2015,-0.202575748,-0.22,-1.47,1.87,0.52,0.48,-0.358225961,-0.198451073,-1.348911306,0.401789444,-1.597529056
9/28/2015,-2.717026032,-2.63,-0.21,1.15,0.67,0.53,-0.202575748,-0.358225961,-0.198451073,-1.348911306,0.401789444
9/29/2015,-0.020624026,-0.07,-0.61,0.69,0.72,0.45,-2.717026032,-0.202575748,-0.358225961,-0.198451073,-1.348911306
9/30/2015,1.840155276,1.88,-0.47,-0.47,-0.41,-0.33,-0.020624026,-2.717026032,-0.202575748,-0.358225961,-0.198451073
10/1/2015,0.202369244,0.13,-0.53,-0.05,-0.16,-0.15,1.840155276,-0.020624026,-2.717026032,-0.202575748,-0.358225961
10/2/2015,1.445245556,1.49,0.25,-0.82,-0.15,0.05,0.202369244,1.840155276,-0.020624026,-2.717026032,-0.202575748
10/5/2015,1.826560649,1.93,0.74,0.76,0.11,0.58,1.445245556,0.202369244,1.840155276,-0.020624026,-2.717026032
10/6/2015,-0.323368959,-0.43,-0.09,1.64,0.32,0.55,1.826560649,1.445245556,0.202369244,1.840155276,-0.020624026
10/7/2015,0.898949124,0.94,0.78,-0.23,-0.13,0.09,-0.323368959,1.826560649,1.445245556,0.202369244,1.840155276
10/8/2015,0.862051317,0.84,0.34,0.73,0.54,0.69,0.898949124,-0.323368959,1.826560649,1.445245556,0.202369244
10/9/2015,0.134935056,0.12,0.1,-1.06,0.12,-0.12,0.862051317,0.898949124,-0.323368959,1.826560649,1.445245556
10/12/2015,0.019243015,0.06,-0.44,-0.07,0.11,-0.17,0.134935056,0.862051317,0.898949124,-0.323368959,1.826560649
10/13/2015,-0.734502792,-0.74,-0.67,0.66,0.32,0.17,0.019243015,0.134935056,0.862051317,0.898949124,-0.323368959
10/14/2015,-0.515436288,-0.6,-0.27,-0.04,-0.44,0.38,-0.734502792,0.019243015,0.134935056,0.862051317,0.898949124
10/15/2015,1.500002964,1.56,0.6,-0.1,-1.07,-0.35,-0.515436288,-0.734502792,0.019243015,0.134935056,0.862051317
10/16/2015,0.383469916,0.36,-0.53,-0.33,0.05,0.06,1.500002964,-0.515436288,-0.734502792,0.019243015,0.134935056
10/19/2015,0.114747031,0,0.11,-0.66,0.14,-0.32,0.383469916,1.500002964,-0.515436288,-0.734502792,0.019243015
10/20/2015,-0.114747031,-0.15,0.14,1.2,0.46,0.15,0.114747031,0.383469916,1.500002964,-0.515436288,-0.734502792
10/21/2015,-0.787711871,-0.74,-0.91,-0.21,0.46,0.16,-0.114747031,0.114747031,0.383469916,1.500002964,-0.515436288
10/22/2015,1.455267402,1.5,-0.76,0.34,0.04,0.51,-0.787711871,-0.114747031,0.114747031,0.383469916,1.500002964
10/23/2015,1.04006222,1.09,-0.03,-0.55,0.2,-0.66,1.455267402,-0.787711871,-0.114747031,0.114747031,0.383469916
10/26/2015,-0.235404896,-0.2,-0.44,-0.72,0.23,-0.1,1.04006222,1.455267402,-0.787711871,-0.114747031,0.114747031
10/27/2015,-0.330554226,-0.42,-1.06,-0.92,-0.41,-0.5,-0.235404896,1.04006222,1.455267402,-0.787711871,-0.114747031
10/28/2015,1.30635631,1.43,1.52,0.67,-0.68,-0.15,-0.330554226,-0.235404896,1.04006222,1.455267402,-0.787711871
10/29/2015,-0.149503258,-0.2,-0.83,-0.08,0.37,-0.28,1.30635631,-0.330554226,-0.235404896,1.04006222,1.455267402
10/30/2015,-0.384127006,-0.42,0.18,-0.56,0.35,0.11,-0.149503258,1.30635631,-0.330554226,-0.235404896,1.04006222
11/2/2015,1.305606862,1.25,0.9,-0.02,-0.55,0.05,-0.384127006,-0.149503258,1.30635631,-0.330554226,-0.235404896
11/3/2015,0.24986424,0.32,0.43,0.25,0,-0.12,1.305606862,-0.384127006,-0.149503258,1.30635631,-0.330554226
11/4/2015,-0.24058348,-0.26,0.18,-0.32,-0.61,-0.69,0.24986424,1.305606862,-0.384127006,-0.149503258,1.30635631
11/5/2015,-0.111250125,-0.08,0.05,0.5,0.02,0.16,-0.24058348,0.24986424,1.305606862,-0.384127006,-0.149503258
11/6/2015,0.018555801,0.14,0.9,0.3,-0.52,-0.13,-0.111250125,-0.24058348,0.24986424,1.305606862,-0.384127006
11/9/2015,-1.006517745,-0.95,-0.3,-0.03,-0.63,-0.05,0.018555801,-0.111250125,-0.24058348,0.24986424,1.305606862
